@relation HAR

@attribute accX__fft1 numeric
@attribute accX__fft2 numeric
@attribute accX__fft3 numeric
@attribute accX__fft4 numeric
@attribute accX__fft5 numeric
@attribute accY__fft1 numeric
@attribute accY__fft2 numeric
@attribute accY__fft3 numeric
@attribute accY__fft4 numeric
@attribute accY__fft5 numeric
@attribute accZ__fft1 numeric
@attribute accZ__fft2 numeric
@attribute accZ__fft3 numeric
@attribute accZ__fft4 numeric
@attribute accZ__fft5 numeric
@attribute accM__fft1 numeric
@attribute accM__fft2 numeric
@attribute accM__fft3 numeric
@attribute accM__fft4 numeric
@attribute accM__fft5 numeric
@attribute class {walking,running,static,cycling}

@data
-5.15,3.53,-3.12,-11.5,-4.51,0.69,3,-1.86,-16.45,-31.44,-7.52,77.19,0.77,116.9,26.04,3.49,-47.05,-11.19,-33.4,37.87,walking
-1.26,36.64,-21.71,57.33,-3.59,-3.8,-23.89,21.46,-14.64,63.11,4.59,-29.62,-11.56,-17.77,-50.69,3.66,36.59,-2.71,34.27,-11.56,walking
4.69,-25.77,7.12,-39.47,-9.88,6.57,27.75,-7.19,50.53,-19.64,1.71,-29.86,-16.46,-60.03,-22.38,-8.47,-7.04,-5.01,2.84,1.49,walking
1.43,42.41,-10.28,44.14,-1.08,1.12,-7.7,-0.73,-22.23,-7.67,2.86,-33.66,25.42,-45.16,45.3,-0.35,-13.25,-10.54,-8.6,-26.74,walking
0.93,-39.63,-8.41,-35.79,10.03,-2.31,-48.68,-5.66,-75.99,-6.2,-0.15,67.17,-2.07,89.44,-26.2,3.41,33.82,9.4,45.84,31.19,walking
2.13,10.18,-14.37,22.51,-16.89,-6.03,53.7,13.23,72.07,50.22,-3.64,-14.68,-7.86,-18.58,-28.15,6.69,-41.2,-2.35,-35.68,-25.83,walking
-2.44,-25.32,3.95,-10.86,9.8,4.89,-15.24,-16.57,-6.74,-33.26,2.69,-27.51,-3,-60.96,2.97,-5.09,36.57,6.39,44.41,-12.33,walking
1.25,-6.02,3.62,-3.52,-26.12,-1.54,28.85,10.06,31.16,-29.9,6.37,15.8,9.66,9.32,76.04,-2.18,-52.67,-35.17,-82.54,14.1,walking
1.69,2.68,9.88,11.16,24.14,-2.4,-70.04,9.5,-98.26,20.2,-10.36,23.58,-28.62,54.94,-43.08,5.3,56.79,-7.15,82.82,24.66,walking
-0.12,-2.69,1.75,16.94,-15.69,4.33,61.98,0.94,83.37,17.37,6.08,-2.95,-21.73,-29.95,-26.01,-4.7,-47.46,0.57,-38.51,-16.24,walking
4.47,-2.64,-10.53,19.66,11.87,2.34,-10.09,-8.32,-8.55,-24.23,-0.55,-70.2,21.65,-92.59,16.46,-4.46,23.99,10.02,41.09,-34.8,walking
0.59,13.55,51.02,-25.04,-19.87,-2.68,-27.48,22.54,-94.44,-51.84,3.93,59.17,-25.72,150.84,37.29,-0.17,-26.31,-60.39,40.63,97.57,walking
-1.26,42.9,-21.04,41.75,-19.85,1.46,58.83,18.92,84.03,34.76,6.18,-13.97,-3.39,0.05,-36.3,-3.48,-64.9,-20.3,-61.05,0.65,walking
-2.37,-15.26,-28,-25.79,-20.66,3.13,-10.02,-13.4,1.19,-23.49,-1.13,9.3,-3.28,19.93,-21.54,-3.33,38.97,8.37,26.17,20.07,walking
0.32,11.25,34.02,5.13,16.56,4.53,-25.35,-0.28,-33.76,3.14,0.29,-55.34,-1.63,-90.16,0.33,-6.56,14.07,-14.32,28.55,-42.45,walking
-3.23,-5.51,45.64,-8.25,-10.87,8.25,59.95,-9.94,29.63,-8.19,13.74,83.55,19.89,100.47,37.14,-5.6,-104.79,-3.22,-63.99,-3.83,walking
